"Číslo projektu","Soutěž","Komise","Navrhovatel","Uchazeč","Fakulta","Abstrakt","Klíčová slova","Trvání","Dotace","Způsobilé","Název"
"20-19638Y","Juniorské projekty – 2020","Oborová komise lékařských a biologických věd","PharmDr. Mgr. Martin Krátký, Ph.D.","Univerzita Karlova","Farmaceutická fakulta v Hradci Králové","V důsledku nárůstu lékové rezistence mohou gram-pozitivní bakterie vyvolávat nebezpečné, obtížně léčitelné infekce. Projekt je zaměřen na studium nových, vysoce aktivních nízkomolekulárních látek účinných mj. vůči methicillin-rezistentním kmenům Staphylococcus aureus a vankomycin-rezistentním enterokokům, a to s odlišným mechanismem účinku a bez zkřížené rezistence s běžně užívanými antibiotiky. Na základě našich „lead“ struktur budou navrženy a syntetizovány nové molekuly s předpokládanými nízkými hodnotami minimálních inhibičních a baktericidních koncentrací a nízkou toxicitou pro eukaryotické buňky. Antimikrobiální účinnost bude potvrzena u klinických izolátů. Bude studován mechanismus účinku různými pokročilými metodami, např. studie depolarizace a integrity bakteriálních membrán či makromolekulární biosyntetický test. Budou hodnoceny také aktivita proti biofilmu a buněčný uptake. Nejslibnější deriváty budou podrobeny in vivo testům založeným na perspektivním modelovém organismu pro infekce Galleria mellonella.","antimikrobní látky;biofilm; buněčný uptake;cytotoxicita; gram-pozitivní bakterie;mechanismus účinku;methicillin-rezistentní Staphylococcus aureus;rezistence; syntéza; vankomycin-rezistentní enterokoky",3,"6736","6736","Design a studium nových antimikrobních látek účinných na rezistentní a biofilm-produkující gram-pozitivní bakterie"
"20-20414Y","Juniorské projekty – 2020","Oborová komise lékařských a biologických věd","RNDr. Jakub Hofman, Ph.D.","Univerzita Karlova","Farmaceutická fakulta v Hradci Králové","Nádory prsu a plic patří celosvětově mezi nejčastější příčiny morbidity i mortality v rámci onkologických onemocnění. Mnohočetná léková rezistence (MDR) představuje hlavní příčinu selhání standardní farmakoterapie u onkologických pacientů. Často je zprostředkována farmakokinetickými mechanismy, tj. efluxem cytostatika z buněk pomocí ABC lékových transportérů a/nebo jeho inaktivací biotransformačními enzymy. Cílená nízkomolekulární léčiva (CNL) způsobila revoluční změnu v protinádorové léčbě, pro většinu z nich však dosud nebylo detailně popsáno, zda figurují jako oběti nebo naopak modulátory farmakokinetických mechanismů MDR. V tomto projektu se zaměříme na studium interakcí nových CNL určených pro léčbu nádorů prsu a plic s lékovými transportéry a biotransformačními enzymy a definujeme jejich roli v MDR. Zjištěné poznatky by po převedení do praxe mohly poskytnout účinnější a bezpečnější léčbu mnoha onkologickým pacientům.","nádory; rezistence; transportéry; biotransformační enzymy; cílená léčba",3,"4869","4869","Studium role nových cílených léčiv určených pro terapii nádorů prsu a plic ve fenoménu farmakokinetické lékové rezistence"
"20-19297S","Standardní projekty – 2020","Oborová komise věd o neživé přírodě","doc. RNDr. Dalibor Šatínský, Ph.D.","Univerzita Karlova","Farmaceutická fakulta v Hradci Králové","Nanovlákenné materiály nabízejí mnoho atraktivních vlastností v různých oblastech výzkumu, lékařství a biotechnologií. Jejich výjimečné vlastnosti a velká povrchová plocha z nich dělají slibné kandidáty pro využití jako extrakční sorbenty pro úpravu vzorků v různých oblastech analytické chemie. Jako moderní extrakční sorbenty poskytují téměř neomezené možnosti. Hlavním cílem projektu je testování různých nanovlákenných polymerů pro funkční využití jako „materiálů s omezeným přístupem“ (RAM) pro on-line extrakce složitých bílkovinných biologických matric v chromatografii. Myšlenka je založena na střední polaritě nanovlákenných
polymerů a jejich vysoké porozitě, která při extrakci umožní zachytit nízkomolekulární analyty při současné exkluzi balastních proteinů. Tato myšlenka nebyla dosud v literatuře popsána. Základní nanovlákenné polymery, 3D kompozitní materiály, chemicky modifikovaná a nově funkcionalizovaná nanovlákna budou testovány z hlediska on-line extrakce a funkčnosti materiálů s omezeným přístupem pro analýzy komplexních vzorků on-line v chromatografických systémech.","Nanovlákna;extrakce;tuhé fáze;polymery;materiály s omezeným přístupem;chromatografie;on-line extrakce;technika přepínání kolon",3,"13870","13870","Nanovlákenné polymery s funkcí materiálů s omezeným přístupem pro on-line chromatografické extrakce komplexních matric"
"20-14581Y","Juniorské projekty – 2020","Oborová komise zemědělských a biologicko - environmentálních věd","RNDr. Lucie Raisová Stuchlíková, Ph.D.","Univerzita Karlova","Farmaceutická fakulta v Hradci Králové","Gastrointestinální hlístice, nejdůležitější paraziti ovlivňující živočišnou produkci, se staly rezistentní vůči všem třídám anthelmintik. Vývoj lékové rezistence může být podpořen zvýšenou expresí a aktivitou enzymů metabolizující léčiva. Redukce karbonylu představuje hlavní biotransformační cestu, jak deaktivovat anthelmintická léčiva flubendazol (FLU) u H. contortus. Metabolismus FLU byl porovnáván u citlivých (ISE) a rezistentních (IRE) kmenů, kdy IRE kmen mnohem více redukoval FLU než kmen ISE. Ačkoli je známo, že genom H. contortus se skládá ze 70 genů dehydrogenas/reduktas s krátkým řetězcem (SDR) a 24 aldo-keto reduktas (AKR), informace o jejich expresi a funkci stále chybí. Cílem tohoto projektu je analyzovat expresi enzymů SDR/AKR u dospělých kmenů ISE a IRE pomocí bioinformatických, transkriptomických a proteomických nástrojů. Reduktasa(y) zodpovědná za vyšší biotransformaci FLU v rezistentních kmenech budou dále charakterizovány, bude připravena jejich rekombinantní forma a budou testovány potenciální inhibitory.","hlístice; Haemonchus contortus; karbonyl reduktasy; rezistence; flubendazol; proteomika; transkriptomika",3,"4761","4761","Transkriptomická, proteomická a funkční analýza karbonylreduktas u parazitické hlístice Haemonchus contortus"
"20-24833S","Standardní projekty – 2020","Oborová komise společenských a humanitních věd","Mgr. Karel Černý, Ph.D.","Univerzita Karlova","Fakulta humanitních studií","Projekt z oblasti blízkovýchodních studií je případovou studií blízkovýchodního uprchlictví a týká se irácké náboženské menšiny jezídů. Jeho cílem je odkrýt komplexnost motivací a faktorů, které ovlivňují jejich rozhodování týkající se migrace do Evropy. Iráčtí jezídé během 20. století zažili několik vln nuceného přesidlování, ale jejich situace se rapidně zhoršila po roce 2003 v souvislosti s růstem islámského radikalismu, přičemž zlomem se stal útok Islámského státu z roku 2014. Převážná většina nejprve utekla na území autonomního Kurdistánu, teprve odtud začali někteří jezídé postupně odcházet do Evropy. Projekt je tedy případovou studií blízkovýchodní menšiny žijící v nestabilním regionu a je založen na terénním výzkumu na území iráckého Kurdistánu a Německé spolkové republiky. Data budou sebrána metodou hloubkových polo-strukturovaných rozhovorů a analyzována v souladu s tzv. metodou zakotvené teorie. Výzkumný design je komparativní: je založen na srovnání čtyř různých skupin, aby bylo možno rozkrýt komplex motivů a faktorů spolu-formujících jezídskou migraci do Evropy.","uprchlictví; migrace; jezídé; náboženské menšiny;Islámský stát;Irák; terénní výzkum;blízkovýchodní studia;zakotvená teorie",3,"1491","1491","Případová studie blízkovýchodního uprchlictví: Iráčtí jezídé"
"20-09616S","Standardní projekty – 2020","Oborová komise společenských a humanitních věd","Mgr. Lenka Martinec Nováková, Ph.D.","Univerzita Karlova","Fakulta humanitních studií","Cílem projektu je semilongitudinálně sledovat vývoj čichového a chuťového vnímání, včetně jejich metakognitivních aspektů, tj. všímavosti. Sledování bude probíhat po dobu 2 let pomocí 3 opakovaných měření provedených v odstupu 12 měsíců na vzorku cca 400 českých dětí a dospívajících. Bude se jednat o první semilongitudinální studii, v níž budou zkoumány konkrétní kognitivní faktory, které ovlivňují vývoj chemorecepce v dětství a dospívání. Ty budou kromě dotazníkových šetření a standardizovaných psychofyzických testů měřeny také prostřednictvím výpovědí rodičů a učitelů. Část starších účastníků bude mezi 2. a 3. měřením plnit úkol, jehož cílem je podpořit percepční učení v každodenním životě v dlouhodobém horizontu, a bude sledován jeho vliv na následně měřená čichová a chuťová skóre. Dalším z nových aspektů tohoto výzkumu bude hodnocení souvislosti mezi sebevýpověďmi a projevy chemosenzorické všímavosti v chování. Poprvé tak bude možné získat přehled o vývoji chemických smyslů v jejich provázanosti se zřetelem nejen k interindividuální, ale i intraindividuální variabilitě.","čich; chuť; chemické smysly; vývoj; psychofyzika; chemosenzorická všímavost",3,"5348","5348","Faktory ovlivňující vývoj chemorecepce v dětství a dospívání v semilongitudinální perspektivě"
"20-03604S","Standardní projekty – 2020","Oborová komise společenských a humanitních věd","Mgr. Klára Bártová, Ph.D.","Univerzita Karlova","Fakulta humanitních studií","Studie zabývající se výzkumem sexuálního vzrušení poukazují na to, že při vystavení erotickým stimulům reagují muži a ženy rozdílně. Muži vykazují sexuální vzrušení (subjektivně udávané i genitální) v souladu s jejich vlastní sexuální orientací, ženy reagují vyšší genitální vzrušivostí i na subjektivně nepreferované stimuly. Vyšší genitální vzrušení u žen výzkumníci vysvětlují jako možnou sexuální reakci na kopulační pohyb a nikoli na ne/preferované sexuální objekty, které se u mužů jeví jako důležitější. Tento předpoklad nebyl nikdy empiricky testován. Cílem této studie je prozkoumat roli kopulačního pohybu na subjektivní a genitální sexuální vzrušení mužů a žen. V exp. 1 bude pomocí eyetrackingu testováno, zda a v jaké míře kopulační pohyb přitahuje pozornost mužů a žen; V exp. 2 bude testováno, zda kopulace u zvířat (v různé míře fylogenetické příbuznosti k člověku) vyvolá u mužů a žen sexuální vzrušení; V exp. 3 bude testován vliv kopulačního pohybu na sexuální vzrušení mužů a žen a to skrze animované objekty s postupně se snižující úrovní sexuálně vzrušujících rysů.","Psychofyziologické měření;Sexuální vzrušení;Experimentální design",3,"4620","4620","Výzkum mužské a ženské sexuální reaktivity: psychofyziologická a subjektivní odezva na vizuální podněty"
"20-24748J","Mezinárodní projekty – 2020","Oborová komise věd o neživé přírodě","RNDr. Artem Ryabov, Ph.D.","Univerzita Karlova","Matematicko-fyzikální fakulta","Převládajícím typem transportu v řadě přírodních i umělých nanokanálků je tzv. single-file difúze. Zde se pohybují částice, jejichž průměr je srovnatelný s vnitřním průměrem kanálku. Reprezentativními příklady jsou difúze v zeolitech, v buněčných membránách, v nanotrubicích a difúze koloidních částic v experimentech optické a magnetické mikromanipulace. Všechna tato experimentální uspořádání typicky zahrnují periodické struktury. Jejich teoretický popis se dosud zaměřil téměř výhradně na prostorově homogenní subdifuzní dynamiku indikátorové částice, nebo na studium kolektivních vlastnosti na diskrétní mříží. Avšak odpovídající celistvá fyzikální teorie single-file difúze v periodických strukturách dosud nebyla vyvinuta. Právě taková teorie a její aplikace jsou těžištěm navrhovaného projektu. Zaměříme na návrh paradigmatických modelů a vývoj specifických simulačních a analytických metod pro jejích analýzu. Přitom v centru pozornosti bude možnost korelovat kolektivní chování s aktivační kinetikou indikátorové částice.","Single-file difúze;procesy s kontaktní interakcí;nerovnovážné fázové přechody;stimulovaná difúze;dynamika indikátorů;doby záchytu;kondiciované pravděpodobnosti záchytu;kinetika aktivace;Kramersova teorie;",3,"3369","3468","Vztah kolektivní a jedno-částicové dynamiky v procesech single-file difúze v periodických strukturách"
"20-02955J","Mezinárodní projekty – 2020","Oborová komise věd o neživé přírodě","RNDr. Viktor Holubec, Ph.D.","Univerzita Karlova","Matematicko-fyzikální fakulta","Schopnost samostatně se pohybovat dává živým organizmům důležitou evoluční výhodu. Již způsoby pohybu využívané primitivními jednobuněčnými organizmy, jako jsou bakterie a spermie, jsou značně komplikované a nutí nás k pochopení základních fyzikálních principů pohybu těchto organizmů konstruovat zjednodušené modely. Nedávný experimentální a technologický pokrok nás zásobuje celou řadou umělých aktivních částic, které mohou být aktivovány a dokonce ovládány s vysokou přesností a jejichž pohyb je teoreticky dobře popsán. Tyto částice nyní umíme vybavovat stále složitějšími fyzikálními i virtuálními interakcemi, které nám umožňují přiblížit se experimentálně složitosti samovolně vznikající v živém světě. Můžeme cílevědomě navrhovat experimentální systémy, které lze popsat teoreticky a využívat idealizované teoretické předpovědi jako vodítko k experimentálním uspořádáním slibujícím zajímavé kolektivní jevy. Tato strategie tvoří jádro předkládaného grantového návrhu, jehož cílem je rozvinout úzkou spolupráci mezi experimentem, analytickou teorií a počítačovými simulacemi.","umělý život;zpětná vazba;časová prodleva;aktivní hmota;nerovnovážné tepelné rezervoáry;dynamické škálování;stísněná prostředí;hydrodynamika;Vicsekův model;roje;dynamika;termodynamika;entropie",3,"5064","5064","Dynamika a termodynamika umělých a přírodních aktivních systémů se zpožděním"
"20-24814J","Mezinárodní projekty – 2020","Oborová komise věd o neživé přírodě","doc. RNDr. Petr Hnětynka, Ph.D.","Univerzita Karlova","Matematicko-fyzikální fakulta","Významný nárůst všudypřítomnosti a dosažitelnosti výpočetních zařízení otevírá nové možnosti, jak přistupovat ke společenským a environmentálním výzvám v různých aplikačních doménách. Jednou z těchto domén je i Průmysl 4.0 se specifickými vlastnostmi systémů. Tato specifika jsou dynamičnost systémů a zejména nutnost čelit inherentní nejistotě v systému, tj. systém musí čelit neočekávaným změnám ve svém prostředí, omezení v komunikaci, krizovým situacím apod. Tato dvě specifika zasahují do všech aspektů systémů v Průmyslu 4.0. V současnosti nejdůležitějším aspektem je důvěra, která zahrnuje bezpečnost a soukromí, a která je nezbytná pro úspěšné přijetí Průmyslu 4.0. Základní vizí projektu je cílit na kombinaci vysoké úrovně nejistoty a dynamičnosti a poskytnout sadu formálních modelů a metod pro specifikaci, běhové zajištění a garance při řízení přístupu ve vysoce dynamických a proměnlivých systémech v doméně Průmyslu 4.0.","Softwarové inženýrství;Adaptivní systémy;Průmysl 4.0;Řízení přístupu;Nejistota",3,"5328","5847","FluidTrust - popora důvěry pomocí dynamicky proměnlivého řízení přistupu k datům a zdrojům v systémech Průmyslu 4.0"
"20-01159S","Standardní projekty – 2020","Oborová komise věd o neživé přírodě","doc. RNDr. Jakub Pšenčík, Ph.D.","Univerzita Karlova","Matematicko-fyzikální fakulta","Tento projekt si klade za cíl objasnění role dvou typů interakcí mezi pigmenty ve fotosyntéze: 1) excitonové interakce a jejího významu pro světlosběrnou funkci a 2) prostorového překryvu elektronových orbitalů a jeho důležitosti pro ochranu před reaktivnímu singletním kyslíkem. Budeme studovat světlosběrné komplexy, ve kterých je úloha pigmentových interakcí zatím nejasná, jako jsou antény s tzv. červenými stavy, nebo kde je naopak dominantní, jako např. chlorosomy zelených fotosyntetických bakterií. Použita bude pokročilá metoda dvourozměrné elektronové spektroskopie s femtosekundovým rozlišením, která umožní rozlišit excitonovou interakci od obvykle převažujících pigment-proteinových interakcí. Pro studium fotoprotekce fotosyntetických komplexů využijeme spektroskopii s nanosekundovým rozlišením. Výsledky poskytnou nové informace o funkci fotosyntetických komplexů a budou použity k optimalizaci funkce umělých světlosběrných komplexů založených na samoorganizaci pigmentů, kde oba typy interakcí mezi pigmenty hrají zásadní roli.","primární procesy fotosyntézy;excitonová interakce;dvoudimenzionální elektronová spektroskopie;časově rozlišená spektroskopie;umělá fotosyntéza;;",3,"5832","5832","Interakce mezi pigmenty pro účinný sběr světla a fotoprotekci ve fotosyntéze"
"20-21855S","Standardní projekty – 2020","Oborová komise věd o neživé přírodě","prof. Pavel Kroupa","Univerzita Karlova","Matematicko-fyzikální fakulta","Budeme studovat rozličné aspekty dynamiky hvězd v hustých hvězdokupách se zaměřením na urychlování a vyvrhování hvězd, jejich interakci s kompaktními pozůstatky hvězdného vývoje a s centrálními černými veledírami. Zveřejníme numerický program umožňující velmi rychle simulovat úvodní fáze vývoje hvězdných soustav s velkým počtem primordiálních dvojhvězd, jehož výstup bude poskytovat počáteční podmínky pro plně N-částicové modely. N-částicové simulace kulových hvězdokup na časové škále miliard let pak umožní hledat vztahy mezi realistickými počátečními hvězdnými populacemi a druhou hvězdnou populací. Učiníme předpovědi vlastností temných hvězdokup očekávaných ve vnitřních oblastech Galaxie a spolu s daty z družice Gaia tak umožníme nezávislý test hypotéz o zadržování kompaktních pozůstatků hvězdného vývoje ve hvězdokupách. Budeme též studovat dynamické procesy v blízkosti černé veledíry v jádře Galaxie s cílem porozumět vzniku a vývoji centrální hvězdokupy, jejím dynamickým vlastnostem a rozložení hmoty v okolí černé veledíry.","hvězdná dynamika;hvězdy-dvojhvězdy;černé veledíry",3,"6129","6129","Dynamika hustých hvězdokup s primordiálními dvojhvězdami a černými veledírami"
"20-19170S","Standardní projekty – 2020","Oborová komise technických věd","doc. RNDr. Miroslav Cieslar, CSc.","Univerzita Karlova","Matematicko-fyzikální fakulta","Slitiny na bázi Al-Li vykazují nejlepší vlastnosti v porovnání s ostatními Al slitinami, a proto se jeví jako velmi atraktivní pro kosmické a letecké aplikace. Jejich hlavním nedostatkem je silně anizotropní chování a omezená tvářitelnost. Hlavním důvodem je přítomnost textury, základní vlastnosti zpevňujících fází a vláknitá substruktura vytvořená v průběhu konvenčního lití a následného termomechanického zpracování, které zahrnuje několikastupňové válcování. Protože jsou možnosti zlepšení vlastností těchto slitin konvenční přípravou prakticky vyčerpány, je nutné použít nových metod spojených s modifikací chemického složení a netradičním termomechanickým zpracováním (plynulé odlévání na finální tloušťku a metody intenzivní plastické deformace typu asymetrického válcování nebo omezeného lisování drážkovanou matricí), které mohou vést k omezení anizotropie a zvýšení tvářitelnosti a houževnatosti, a přitom nedojde k omezení jejich pevnosti a poklesu Youngova modulu pružnosti.","Al-Li-Mg-Sc-Zr;plynulé odlévání;omezené lisování drážkovanou matricí;asymetrické válcování;mikrostruktura;textura;mechanické vlastnosti;tvářitelnost",3,"6484","6484","Mikrostruktura a mechanické vlastnosti  pásů ze slitiny Al-Li-Mg-Cu-Sc-Zr plynule odlévaných mezi rotující válce."
"20-01074S","Standardní projekty – 2020","Oborová komise věd o neživé přírodě","prof. RNDr. Vít Dolejší, Ph.D., DSc","Univerzita Karlova","Matematicko-fyzikální fakulta","Projekt se zabývá numerickým řešením několika typů parciálních diferenciálních rovnic (PDR) popisující různé praktické jevy a problémy. Cílem je vývoj spolehlivých a efektivních numerických metod umožňující získání přibližného řešení v rámci dané tolerance za použití minimálního počtu aritmetických operací. Celý proces zahrnuje návrh a analýzu diskretizačních schémat včetně vhodných řešičů pro příslušné soustavy algebraických rovnic, aposteriorní odhady chyby zahrnující algebraické chyby a adaptivní metody vyvažující různé zdroje chyb.  Zaměříme se na použití adaptivních metod vysokého řádu přesnosti, které umožňují značně snížit počet stupňů volnosti nutných k dosažení dané chybové tolerance. Adaptivní zjemňování sítí musí též brát v potaz vlastnosti výsledných soustav algebraických rovnic. Očekávanými výsledky tohoto projektu jsou adaptivní spolehlivé a efektivní metody pro řešení uvažovaných typů parciálních diferenciálních rovnic.","numerické řešení; parciální diferenciální rovnice;adaptivní metody;iterační metody;odhady chyb;algebraické chyby;hp-metody;anizotropní sítě",3,"12760","13651","Adaptivní metody pro numerické řešení parciálních diferenciálních rovnic: analýza, odhady chyb a iterativní řešiče"
"20-16819X","EXPRO - 2020","EXPRO","prof. RNDr. Jan Hajič, Dr.","Univerzita Karlova","Matematicko-fyzikální fakulta","V projektu budou vyvinuty a empiricky ověřeny formálně-symbolické, v multilingválním smyslu ""univerzální"" reprezentace textové komunikace na nadvětné úrovni. Metodologicky a z hlediska vědeckých principů bude projekt vycházet z úspěšného velkého mezinárodního projektu ""Universal Dependencies"" soustřeďujícího se na úroveň morfologie a syntaxe, ale nově se výzkum zaměří na oblast strukturálně a lexikálně sémantickou, oblast diskurzu a informační struktury, včetně anaforických vztahů. Navržené specifikace budou ověřeny expertní (manuální) anotací na reálných textech a vybrané problémy a jejich řešení budou potvrzeny dalšími experimenty. Výsledné reprezentace budou rovněž použity k budování modelů založených na umělých neuronových sítích pomocí strojového učení a jejich výsledky podrobně analyzovány. Veškeré výstupy (data, publikace) projektu budou zveřejněny v režimu Open Access v repozitářích relevantních výzkumných infrastruktur.","jazykověda; porozumění přirozenému jazyku; formální reprezentace; vícejazyčnost;
syntax;diskurs;informační struktura;lexikální sémantika;jazyková data;
experimentální ověřování",5,"48983","48983","Porozumění jazyku: od syntaxe k diskurzu"
"20-13616Y","Juniorské projekty – 2020","Oborová komise věd o neživé přírodě","Mgr. Jakub Vaverka, Ph.D.","Univerzita Karlova","Matematicko-fyzikální fakulta","Přístroje pro měření elektrického pole jsou schopny zaznamenat nárazy prachových zrn na družice ve formě krátkých pulzů v elektrickém poli. Tento fakt poskytuje zajímavou možnost pro studium výskyt prachových zrn v různých částech sluneční soustavy. Navzdory probíhajícímu intenzivnímu výzkumu, který zahrnuje laboratorní a počítačové simulace, nejsou měřené signály stále kompletně pochopeny. Hlubší porozumění této metody je nezbytné pro její spolehlivé využití k detekci prachu ve vesmíru a ke snížení množství nesprávně identifikovaných případů.
V rámci tohoto projektu budeme detailně studovat data z různých družic, jako jsou MMS a RBSP které poskytují komplexní údaje o elektrickém poli současně v dipólové a monopolové konfiguraci a tato data porovnáme s daty z laboratorních měření pro komplexní porozumění procesům spojeným s dopadem prachu na družice a pro přesnější identifikaci těchto signálů v měřených datech. Získané znalosti budou následně použity pro měření výskytu prachových zrn v zemské magnetosféře a různých částech sluneční soustavy.","Meziplanetární_a_mezihvězdný_prach; Detekce_dopadu_prachových_zrn; Dopadové_plasma; Nabíjení_družic",3,"4704","4704","Detekce dopadů prachových zrn na družice pomocí přístrojů na měření elektrického pole"
"20-15576S","Standardní projekty – 2020","Oborová komise věd o neživé přírodě","prof. RNDr. Jan Kratochvíl, CSc.","Univerzita Karlova","Matematicko-fyzikální fakulta","Koncept symetrie je stejně starý jako matematika sama. V moderní matematice je formalizován jako koncept automorfismu uvažované struktury. V předkládaném projektu budeme studovat jedno- a dvou-dimenzionální struktury, zejména grafy, plochy a jejich kvocienty, tedy orbity dimenze 1 a 2. 
Nakrytí grafů a ploch byla intenzivně studována a našla mnoho aplikací. Mnohem méně je ale známo o výpočetní složitosti otázek souvisejících s nakrýváním grafů.
Projekt se zaměří na studium výpočetní složitosti těchto otázek, včetně problémů zobecňujících problém isomorfismu grafů, případně tento problém řešící pro omezené třídy grafů. Tímto způsobem doufáme dosáhnout lepšího pochopení výpočetní složitosti studovaných problémů s nadějí na upřesnění hranice mezi polynomiálními a GI-úplnými instancemi na jedné straně, a mezi GI-úplnými a NP-úplnými instancemi na straně druhé.","Graf;Automorfismus;Grupa automorfismů;Nakrytí grafu;Výpočetní složitost",3,"7679","8671","Nakrývání grafů: Symetrie a složitost"
"20-17490S","Standardní projekty – 2020","Oborová komise věd o neživé přírodě","Ing. Michal Malinský, Ph.D.","Univerzita Karlova","Matematicko-fyzikální fakulta","Jedním z ústředních témat částicové fyziky poslední doby jsou pokusy o vysvětlení stále se množících náznaků existence nové fyziky za hranicemi Standardního modelu částicových interakcí (jako např. nenulovosti hmotností neutrin, existence primordiální baryonové asymetrie Vesmíru, existence hmoty nebaryonní povahy či anomálií v rozpadech B-mezonů). Mezi nejslibnější strategie tohoto snažení pak patří zejména studium tzv. minimálních rozšíření Standardního modelu, tj. teoretických schemat, jež díky své relativní jednoduchosti často vedou k potenciálně testovatelným predikcím nových efektů poskytujícím vodítka pro další výzkum nejen na poli “tradiční” částicové fyziky, ale zejména na jejich hranicích. S vidinou nástupu nové generace obřích experimentálních zařízení a jejich bezprecedentního vědeckého potenciálu lze bez nadsázky říci, že budoucnost fyziky vysokých energií je nejen významnou příležitostí pro smysluplnou investici materiálních a lidských zdrojů, ale s velkou pravděpodobností též cestou objevů a překvapení, jejichž význam v dlouhodobém horizontu lze dnes pouze odhadovat.","Kvantová teorie pole;;částicová fenomenologie;;částicová fyzika za Standardním modelem;;narušení baryonového a leptonového čísla;;temná hmota;",3,"7689","9243","Náznaky nové fyziky z pohledu kalibračních rozšíření Standardního modelu"
"20-15548Y","Juniorské projekty – 2020","Oborová komise věd o neživé přírodě","Mgr. Zdeněk Mašín, PhD","Univerzita Karlova","Matematicko-fyzikální fakulta","Cílem projektu je navrhnout a teoreticky studovat nové mechanismy, které mohou vést k mutagennímu požkození DNA. Zaprvé, budeme studovat formování rezonancí ve srážkách nízkoenergetických (< 15 eV) elektronů s elektronicky excitovanými analogy dimerů nukleových bází DNA (excimery). Zadruhé, budeme studovat tvorbu nových typů stavů přenosu náboje v malých molekulových dimerech pomocí ultrakrátkých pulzů UV záření. V tomto procesu je jeden z monomerů ionizován UV zářením a volný elektron je následně zachycen na druhém monomeru v metastabilním stavu, který se může následně rozpadnout autoionizací nebo rozbitím molekuly. Budeme studovat vlastnosti interakce nízkoenergetických elektronů s excimery a efektivitu generování stavu přenosnu náboje v kontinuu a závislost těchto procesů na geometrii dimeru a popisu korelace/polarizace. Výpočty budou provedeny pomocí Molpra a nedávno vylepšených verzí časově-nezávislé a časově-závislé implementace ab initio molekulové R-maticové metody.","elektron-molekulové srážky;fyzika extrémně rychlých procesů;požkození DNA;přenost náboje;rezonanční stavy;",3,"6361","6361","Nové mechanizmy požkození DNA působením elektronů a ultrafialového záření"
"20-20621S","Standardní projekty – 2020","Oborová komise věd o neživé přírodě","doc. Štěpán Holub, Ph.D. et Ph.D.","Univerzita Karlova","Matematicko-fyzikální fakulta","Kombinatorika na slovech je oblast diskrétní matematiky, která jako jiné kombinatorické obory přirozeně tíhne k technickým a pracným důkazům, často obsahujícím opakování podobných úvah a rozsáhlé rozbory případů. Jako taková je vhodná k počítačově ověřitelné formalizaci, o kterou se však dosud nikdo vážněji nepokusil. Naším úmyslem je formalizovat základní teorii konečných slov v dokazovacím asistentu Isabelle/HOL a poté se zaměřit na rozsáhlý projekt klasifikace binárních ekvivalenčních slov, který svou komplexností již naráží na meze běžné lidské kontroly. Projekt jednak nepochybným způsobem zpřístupní existující výsledky, jednak bude ohledávat jejich hranice a testovat schonost automatických dokazovacích nástrojů nalézat v této oblasti nová fakta, nebo alespoň urychlit lidský výzkum.","kombinatorika na slovech;formalizace důkazů;automatické uvažování;binární ekvivalenční množiny;",3,"3777","3813","Formalizace kombinatoriky na slovech"
"20-11027X","EXPRO - 2020","EXPRO","Miroslav Bulíček","Univerzita Karlova","Matematicko-fyzikální fakulta","Většina procesů v termodynamice kontinua se odehrává daleko od rovnovážného stavu a tyto
procesy často vedou ke vzniku disipativních struktur, které pak dominují popisu celé dynamiky
těchto procesů. Existující matematické nástroje, které dovedou popsat tyto disipativní struktury,
musí bohužel čelit zásadním potížím. Buď získáme fyzikálně relevantní popis za cenu
matematické přesnosti, nebo tuto přesnost dokážeme zachovat, ale naopak ztrácíme fyzikální
relevanci.
Naším cílem je překonat tyto obtíže. Pro fyzikálně relevantní modely vyvineme konstruktivní
metody pro nízkodimenzionální popis vzniklých struktur. Potíže, jako například nedostatek
hladkosti řešení, budou překonány pomocí metody trajektorií. Očekáváme, že projekt nabídne
zcela nové přístupy k teorii dynamických systémů a že zcela zásadně přispěje k pochopení
komplexního chování dynamických systémů v termodynamice kontinua.","dynamické systémy;otevřené systémy;parciální diferenciální rovnice;termodynamika kontinua;
atraktor;stabilita;regularita;slabé řešení;okrajové podmínky",5,"36576","36576","Matematická analýza parciálních diferenciálních rovnic popisujících silně nerovnovážné stavy v otevřených systémech termodynamiky kontinua"
